dataset	cohort_role	field	row_count	missing_or_unknown_count	missing_or_unknown_fraction	value_counts
2026-06-15 shadow-report set	shadow_unknown	cnvpro_like_gc_rc_background_status	170	0	0.0	GC_RC_AVAILABLE=170
2026-06-15 shadow-report set	shadow_unknown	dynamic_reference_status	170	0	0.0	OK=170
2026-06-15 shadow-report set	shadow_unknown	matched_negative_source	170	170	1.0	UNKNOWN_BACKGROUND=170
2026-06-15 shadow-report set	shadow_unknown	matched_negative_percentile	170	170	1.0	NA=170
2026-06-15 shadow-report set	shadow_unknown	copy_number_estimate	170	0	0.0	-1.1753999999999998=1; 0.7292000000000001=1; 0.9346=1; 0.9938=1; 1.0284=1; 1.1336=1; 1.1720000000000002=1; 1.2178=1; 1.2231999999999998=1; 1.2618=1; 1.3326=1; 1.3468=1; 1.3638=1; 1.4294=1; 1.4856=1; 1.5542=1; 1.6008=1; 1.6306000000000005=1; 1.6344=1; 1.6446=1; 1.6574=1; 1.7046=1; 1.706=1; 1.7326=1; 1.7484=1; 1.7622000000000002=1; 1.7772=1; 1.778=1; 1.778958619046849=1; 1.7864=1; 1.791477969536168=1; 1.7964000000000002=1; 1.7968=1; 1.7976=1; 1.8096=1; 1.8138=1; 1.8156=1; 1.8212=1; 1.83=1; 1.8342=1; 1.8376=1; 1.8398=1; 1.8424=1; 1.8476=1; 1.8506=1; 1.8672=1; 1.8694=1; 1.8778=1; 1.8804=1; 1.8826=1; 1.884=1; 1.8882=1; 1.8886=1; 1.8926=1; 1.8954=1; 1.8992=1; 1.903=1; 1.9098=1; 1.917=1; 1.9214=1; 1.9254=1; 1.931=1; 1.9358=1; 1.9428=1; 1.944=1; 1.9468=1; 1.9676=1; 2.0292=1; 2.0302=1; 2.032=1; 2.0348=1; 2.0534=1; 2.0602=1; 2.0608=1; 2.0654=1; 2.0742=2; 2.0756=1; 2.0764=2; 2.0782=1; 2.0792=1; 2.0802=1; 2.0806=1; 2.0832=1; 2.0868=1; 2.0884=1; 2.0886=1; 2.089=1; 2.0896=1; 2.092=1; 2.0922=1; 2.0948=1; 2.097=1; 2.0976=1; 2.1026=1; 2.1064=1; 2.108=1; 2.1102=2; 2.1114=1; 2.1116=1; 2.1136=1; 2.114=1; 2.1148=1; 2.1176=1; 2.1214=1; 2.1226=1; 2.1314=1; 2.1324=1; 2.1336=1; 2.1364=1; 2.138=1; 2.1424=1; 2.1506=1; 2.1518=1; 2.1536=1; 2.1566=1; 2.1576=1; 2.1638=1; 2.165=1; 2.166=1; 2.1664=1; 2.1716=1; 2.178=1; 2.1856=1; 2.1868=1; 2.1876=2; 2.1884=1; 2.1966=1; 2.1968=1; 2.197=1; 2.1976=1; 2.1996=1; 2.2098=1; 2.2128=1; 2.2136=1; 2.2184=1; 2.2278=1; 2.2324=1; 2.2358=1; 2.236=1; 2.2362=1; 2.237=1; 2.239=1; 2.243189472835568=1; 2.2552=1; 2.2832=1; 2.284=1; 2.2898=1; 2.31=1; 2.3214=1; 2.3236=1; 2.341=1; 2.374=1; 2.413=1; 2.4148=1; 2.426=1; 2.4396=1; 2.4666=1; 2.467=1; 2.4702=1; 2.5038=1; 2.5424=1; 2.579=1; 2.696=1; 2.7184=1; 2.722=1; 2.7412=1
2026-06-15 shadow-report set	shadow_unknown	sex_adjusted_copy_number	170	0	0.0	-1.1753999999999998=1; 0.7292000000000001=1; 0.9346=1; 0.9938=1; 1.0284=1; 1.1336=1; 1.1720000000000002=1; 1.2178=1; 1.2231999999999998=1; 1.2618=1; 1.3326=1; 1.3468=1; 1.3638=1; 1.4294=1; 1.4856=1; 1.5542=1; 1.6008=1; 1.6306000000000005=1; 1.6344=1; 1.6446=1; 1.6574=1; 1.7046=1; 1.706=1; 1.7326=1; 1.7484=1; 1.7622000000000002=1; 1.7772=1; 1.778=1; 1.778958619046849=1; 1.7864=1; 1.791477969536168=1; 1.7964000000000002=1; 1.7968=1; 1.7976=1; 1.8096=1; 1.8138=1; 1.8156=1; 1.8212=1; 1.83=1; 1.8342=1; 1.8376=1; 1.8398=1; 1.8424=1; 1.8476=1; 1.8506=1; 1.8672=1; 1.8694=1; 1.8778=1; 1.8804=1; 1.8826=1; 1.884=1; 1.8882=1; 1.8886=1; 1.8926=1; 1.8954=1; 1.8992=1; 1.903=1; 1.9098=1; 1.917=1; 1.9214=1; 1.9254=1; 1.931=1; 1.9358=1; 1.9428=1; 1.944=1; 1.9468=1; 1.9676=1; 2.0292=1; 2.0302=1; 2.032=1; 2.0348=1; 2.0534=1; 2.0602=1; 2.0608=1; 2.0654=1; 2.0742=2; 2.0756=1; 2.0764=2; 2.0782=1; 2.0792=1; 2.0802=1; 2.0806=1; 2.0832=1; 2.0868=1; 2.0884=1; 2.0886=1; 2.089=1; 2.0896=1; 2.092=1; 2.0922=1; 2.0948=1; 2.097=1; 2.0976=1; 2.1026=1; 2.1064=1; 2.108=1; 2.1102=2; 2.1114=1; 2.1116=1; 2.1136=1; 2.114=1; 2.1148=1; 2.1176=1; 2.1214=1; 2.1226=1; 2.1314=1; 2.1324=1; 2.1336=1; 2.1364=1; 2.138=1; 2.1424=1; 2.1506=1; 2.1518=1; 2.1536=1; 2.1566=1; 2.1576=1; 2.1638=1; 2.165=1; 2.166=1; 2.1664=1; 2.1716=1; 2.178=1; 2.1856=1; 2.1868=1; 2.1876=2; 2.1884=1; 2.1966=1; 2.1968=1; 2.197=1; 2.1976=1; 2.1996=1; 2.2098=1; 2.2128=1; 2.2136=1; 2.2184=1; 2.2278=1; 2.2324=1; 2.2358=1; 2.236=1; 2.2362=1; 2.237=1; 2.239=1; 2.243189472835568=1; 2.2552=1; 2.2832=1; 2.284=1; 2.2898=1; 2.31=1; 2.3214=1; 2.3236=1; 2.341=1; 2.374=1; 2.413=1; 2.4148=1; 2.426=1; 2.4396=1; 2.4666=1; 2.467=1; 2.4702=1; 2.5038=1; 2.5424=1; 2.579=1; 2.696=1; 2.7184=1; 2.722=1; 2.7412=1
2026-06-15 shadow-report set	shadow_unknown	mosaic_fraction_proxy	170	0	0.0	0.0291999999999998=1; 0.0301999999999997=1; 0.032=1; 0.0323999999999999=1; 0.0348000000000001=1; 0.0531999999999999=1; 0.0533999999999998=1; 0.056=1; 0.0571999999999999=1; 0.0602=1; 0.0607999999999999=1; 0.0642=1; 0.0653999999999999=1; 0.0689999999999999=1; 0.0741999999999998=2; 0.0746=1; 0.0756000000000001=1; 0.0764=2; 0.0781999999999998=1; 0.0786=1; 0.0792000000000001=1; 0.0802=1; 0.0806=1; 0.0829999999999999=1; 0.0832000000000001=1; 0.0868000000000002=1; 0.0884=1; 0.0886=1; 0.0889999999999999=1; 0.0895999999999999=1; 0.0902=1; 0.092=1; 0.0922=1; 0.0948000000000002=1; 0.0969999999999999=2; 0.0975999999999999=1; 0.1008=1; 0.1025999999999998=1; 0.1046=1; 0.1063999999999998=1; 0.1073999999999999=1; 0.1080000000000001=1; 0.1101999999999998=2; 0.1113999999999999=1; 0.1114000000000001=1; 0.1116000000000001=1; 0.1117999999999999=1; 0.1135999999999999=1; 0.1139999999999998=1; 0.1147999999999997=1; 0.1159999999999998=1; 0.1173999999999999=1; 0.1175999999999999=1; 0.1195999999999999=1; 0.1213999999999999=1; 0.1221999999999998=1; 0.1225999999999998=1; 0.1306=1; 0.1314000000000001=1; 0.1324=1; 0.1328=1; 0.1335999999999999=1; 0.1364=1; 0.1379999999999999=1; 0.1423999999999998=1; 0.1493999999999999=1; 0.1505999999999998=1; 0.1518000000000001=1; 0.1524000000000001=1; 0.1535999999999999=1; 0.1566=1; 0.1575999999999999=2; 0.1602000000000001=1; 0.1623999999999998=1; 0.1638000000000001=1; 0.165=1; 0.1657999999999999=1; 0.1659999999999999=1; 0.1663999999999998=1; 0.1699999999999999=1; 0.1716000000000002=1; 0.1779999999999999=1; 0.1788=1; 0.1844000000000001=1; 0.1856=1; 0.1861999999999999=1; 0.1867999999999998=1; 0.1875999999999997=2; 0.1884000000000001=1; 0.1903999999999999=1; 0.1966000000000001=1; 0.1968=1; 0.197=1; 0.1976=1; 0.1996000000000002=1; 0.2023999999999999=1; 0.2032=1; 0.2035999999999997=1; 0.208522030463832=1; 0.2098=1; 0.2128000000000001=1; 0.2135999999999995=1; 0.2136=1; 0.2183999999999999=1; 0.221041380953151=1; 0.2219999999999999=1; 0.2227999999999999=1; 0.2278000000000002=1; 0.2324000000000001=1; 0.2358000000000002=1; 0.2359999999999997=1; 0.2362000000000002=1; 0.2370000000000001=1; 0.2377999999999998=1; 0.2389999999999998=1; 0.2431894728355677=1; 0.2516=1; 0.2551999999999998=1; 0.2674000000000001=1; 0.2831999999999999=1; 0.2839999999999998=1; 0.2898=1; 0.294=1; 0.2953999999999999=1; 0.31=1; 0.3214000000000001=1; 0.3235999999999999=1; 0.3410000000000002=1; 0.3426=1; 0.3553999999999999=1; 0.3655999999999999=1; 0.3693999999999997=1; 0.3740000000000001=1; 0.3992=1; 0.4129999999999998=1; 0.4148=1; 0.4260000000000001=1; 0.4396=1; 0.4458=1; 0.4666000000000001=1; 0.4669999999999996=1; 0.4701999999999997=1; 0.5038=1; 0.5144=1; 0.5423999999999998=1; 0.5706=1; 0.5789999999999997=1; 0.6362000000000001=1; 0.6532=1; 0.6674=1; 0.6959999999999997=1; 0.7183999999999999=1; 0.722=1; 0.7382=1; 0.7412000000000001=1; 0.7768000000000002=1; 0.7822=1; 0.8279999999999998=1; 0.8664000000000001=1; 0.9716=1; 1.0=4
2026-06-15 shadow-report set	shadow_unknown	mosaic_proxy_status	170	0	0.0	AVAILABLE=170
2026-06-15 shadow-report set	shadow_unknown	event_arm_class	170	0	0.0	autosome=156; sex_chromosome=14
2026-06-15 shadow-report set	shadow_unknown	event_par_class	170	0	0.0	autosome=156; mixed_par_nonpar=4; nonpar=10
