dataset	field	truth_overlap_candidate_count	truth_overlap_missing_or_unknown_count	truth_overlap_missing_or_unknown_fraction	truth_overlap_value_counts	nontruth_candidate_count	nontruth_missing_or_unknown_count	nontruth_missing_or_unknown_fraction	nontruth_value_counts	hard_filter_risk_note
H1-H6 positives + H7-H16 review	cnvpro_like_gc_rc_background_status	14	0	0.0	GC_RC_AVAILABLE=14	100	0	0.0	GC_RC_AVAILABLE=100	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	dynamic_reference_status	14	0	0.0	OK=14	100	0	0.0	OK=100	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	matched_negative_source	14	14	1.0	UNKNOWN_BACKGROUND=14	100	100	1.0	UNKNOWN_BACKGROUND=100	risky_if_used_as_hard_filter
H1-H6 positives + H7-H16 review	matched_negative_percentile	14	14	1.0	NA=14	100	100	1.0	NA=100	risky_if_used_as_hard_filter
H1-H6 positives + H7-H16 review	copy_number_estimate	14	0	0.0	0.2749999999999999=1; 0.2816000000000001=1; 0.3024=1; 0.3371419309191816=1; 2.1084=1; 2.3000744675811=1; 2.4325846148112427=1; 2.499800000919298=1; 2.637=1; 3.1508000000000003=1; 3.1782=1; 3.1818=1; 3.1842=1; 3.2552000000000003=1	100	0	0.0	1.8764=1; 1.903=1; 1.9122=1; 1.9154=1; 1.9166=1; 1.9168=1; 1.9216=1; 1.9244=1; 1.9256=1; 1.927=1; 1.93=1; 1.9304=1; 1.9348=1; 1.9378=1; 1.9382=1; 1.941=1; 1.9424=1; 1.9470000000000005=1; 1.9474=1; 1.948=1; 1.9486=1; 1.9526=1; 1.9536=1; 1.9538=1; 1.9558=1; 1.9586=1; 2.0238=1; 2.048=1; 2.0544=1; 2.0564=1; 2.0578=1; 2.0608=1; 2.0638=1; 2.0648=1; 2.0712=1; 2.0714=1; 2.073=1; 2.074=1; 2.0776=1; 2.0858=1; 2.0868=1; 2.0882=1; 2.0892=1; 2.0912=1; 2.0918=1; 2.0928=1; 2.094=1; 2.0982=1; 2.1038=2; 2.1066=1; 2.1086=1; 2.1098=1; 2.1144=1; 2.1196=1; 2.1338=1; 2.138=1; 2.1434=2; 2.1454=1; 2.1482=1; 2.149235711647704=1; 2.1634=1; 2.1638=1; 2.1696=1; 2.1724=1; 2.1832=1; 2.1938=1; 2.1946=1; 2.1948=1; 2.199=1; 2.2014=1; 2.2058=1; 2.2072=1; 2.2082=1; 2.2084=1; 2.2252=1; 2.2274=1; 2.2298=1; 2.2302=1; 2.2422=1; 2.2468=1; 2.2506=1; 2.2582=1; 2.2616=1; 2.2754=1; 2.2846=1; 2.2928=1; 2.2964=1; 2.3106=1; 2.3202=1; 2.324=1; 2.3294=1; 2.332=1; 2.3582=1; 2.3746=1; 2.413=1; 2.4244=1; 2.7206=1; 2.729=1	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	sex_adjusted_copy_number	14	0	0.0	0.2749999999999999=1; 0.2816000000000001=1; 0.3024=1; 0.3371419309191816=1; 2.1084=1; 2.3000744675811=1; 2.4325846148112427=1; 2.499800000919298=1; 2.637=1; 3.1508000000000003=1; 3.1782=1; 3.1818=1; 3.1842=1; 3.2552000000000003=1	100	0	0.0	1.8764=1; 1.903=1; 1.9122=1; 1.9154=1; 1.9166=1; 1.9168=1; 1.9216=1; 1.9244=1; 1.9256=1; 1.927=1; 1.93=1; 1.9304=1; 1.9348=1; 1.9378=1; 1.9382=1; 1.941=1; 1.9424=1; 1.9470000000000005=1; 1.9474=1; 1.948=1; 1.9486=1; 1.9526=1; 1.9536=1; 1.9538=1; 1.9558=1; 1.9586=1; 2.0238=1; 2.048=1; 2.0544=1; 2.0564=1; 2.0578=1; 2.0608=1; 2.0638=1; 2.0648=1; 2.0712=1; 2.0714=1; 2.073=1; 2.074=1; 2.0776=1; 2.0858=1; 2.0868=1; 2.0882=1; 2.0892=1; 2.0912=1; 2.0918=1; 2.0928=1; 2.094=1; 2.0982=1; 2.1038=2; 2.1066=1; 2.1086=1; 2.1098=1; 2.1144=1; 2.1196=1; 2.1338=1; 2.138=1; 2.1434=2; 2.1454=1; 2.1482=1; 2.149235711647704=1; 2.1634=1; 2.1638=1; 2.1696=1; 2.1724=1; 2.1832=1; 2.1938=1; 2.1946=1; 2.1948=1; 2.199=1; 2.2014=1; 2.2058=1; 2.2072=1; 2.2082=1; 2.2084=1; 2.2252=1; 2.2274=1; 2.2298=1; 2.2302=1; 2.2422=1; 2.2468=1; 2.2506=1; 2.2582=1; 2.2616=1; 2.2754=1; 2.2846=1; 2.2928=1; 2.2964=1; 2.3106=1; 2.3202=1; 2.324=1; 2.3294=1; 2.332=1; 2.3582=1; 2.3746=1; 2.413=1; 2.4244=1; 2.7206=1; 2.729=1	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	mosaic_fraction_proxy	14	0	0.0	0.1084=1; 0.3000744675811=1; 0.4325846148112426=1; 0.499800000919298=1; 0.637=1; 1.0=9	100	0	0.0	0.0238=1; 0.0414000000000001=1; 0.0442=1; 0.0462=1; 0.0464=1; 0.0474000000000001=1; 0.048=1; 0.0514000000000001=1; 0.052=1; 0.0525999999999999=1; 0.0529999999999997=1; 0.0543999999999997=1; 0.0564=1; 0.0576=1; 0.0577999999999998=1; 0.0589999999999999=1; 0.0607999999999999=1; 0.0618=1; 0.0621999999999998=1; 0.0638=1; 0.0647999999999999=1; 0.0651999999999999=1; 0.0695999999999998=1; 0.07=1; 0.0712000000000001=1; 0.0714000000000001=1; 0.0729999999999999=2; 0.0739999999999998=1; 0.0744=1; 0.0756000000000001=1; 0.0775999999999998=1; 0.0784=1; 0.0831999999999999=1; 0.0833999999999999=1; 0.0846=1; 0.0857999999999998=1; 0.0868000000000002=1; 0.0878000000000001=1; 0.0882=1; 0.0891999999999999=1; 0.0912000000000001=1; 0.0918000000000001=1; 0.0928=1; 0.0939999999999998=1; 0.0969999999999999=1; 0.0981999999999998=1; 0.1038000000000001=2; 0.1065999999999998=1; 0.1086=1; 0.1097999999999999=1; 0.1143999999999998=1; 0.1196000000000001=1; 0.1235999999999999=1; 0.1337999999999999=1; 0.1379999999999999=1; 0.1434000000000002=2; 0.1453999999999999=1; 0.1482000000000001=1; 0.1492357116477038=1; 0.1634000000000002=1; 0.1638000000000001=1; 0.1695999999999999=1; 0.1724000000000001=1; 0.1831999999999998=1; 0.1937999999999999=1; 0.1945999999999998=1; 0.1947999999999998=1; 0.1989999999999998=1; 0.2013999999999995=1; 0.2057999999999999=1; 0.2071999999999998=1; 0.2082000000000001=1; 0.2084000000000001=1; 0.2252=1; 0.2273999999999998=1; 0.2298=1; 0.2301999999999999=1; 0.2421999999999999=1; 0.2467999999999999=1; 0.2505999999999999=1; 0.2582=1; 0.2616=1; 0.2753999999999998=1; 0.2846000000000002=1; 0.2928000000000001=1; 0.2964000000000002=1; 0.3106=1; 0.3201999999999998=1; 0.3239999999999998=1; 0.3294000000000001=1; 0.3319999999999998=1; 0.3582000000000001=1; 0.3746=1; 0.4129999999999998=1; 0.4243999999999999=1; 0.7206000000000001=1; 0.7290000000000001=1	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	mosaic_proxy_status	14	0	0.0	AVAILABLE=14	100	0	0.0	AVAILABLE=100	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	event_arm_class	14	0	0.0	autosome=10; sex_chromosome=4	100	0	0.0	autosome=97; sex_chromosome=3	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	event_par_class	14	0	0.0	autosome=10; mixed_par_nonpar=2; nonpar=2	100	0	0.0	autosome=97; mixed_par_nonpar=1; nonpar=2	no_missing_on_truth_overlap_candidates
