sample_id	cohort	batch_date	declared_role	current_use_role	sex_call	truth_event_count	truth_source	reference_label	negative_bank_label	included_in_current_ref	allowed_use	forbidden_use	status	source_document	notes
1	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
2	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
3	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
4	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
5	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
6	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
7	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
8	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
9	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
10	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
12	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
13	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XX	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
A	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
C	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
D	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
E1	reference_negative_package	reference_package_20260615	reference_negative	shadow_reference_candidate	XY	0	none	current_ref_included_base_pass_warn	NA	yes	shadow_reference_current;reference_package_audit	formal_N0_without_independent_validation;production_reference_promotion_without_gate	active_shadow_reference	config_reference_h_r0_shadow_20260619.yaml;docs/reports/reference_negative_package_sync_2026-06-16.md	one_of_32_reference_negative_package_samples;selected_in_h_r0_shadow_ref
